Model,Location_State,Brand,Location
BMW 528i,Selangor,BMW,Selangor
Honda Civic,Kuala Lumpur,Honda,Kuala Lumpur
BMW 328i,Kuala Lumpur,BMW,Kuala Lumpur
Toyota Corolla Altis,Kuala Lumpur,Toyota,Kuala Lumpur
Honda Accord,Kuala Lumpur,Honda,Kuala Lumpur
BMW 520i,Penang,BMW,Pulau Pinang
BMW 520i,Penang,BMW,Pulau Pinang
Toyota Harrier,Penang,Toyota,Pulau Pinang
BMW X1,Penang,BMW,Pulau Pinang
BMW X4,Penang,BMW,Pulau Pinang
Honda HR-V,Penang,Honda,Pulau Pinang
Toyota Vellfire,Selangor,Toyota,Selangor
Toyota Alphard,Selangor,Toyota,Selangor
Perodua Myvi,Penang,Perodua,Pulau Pinang
Honda CR-V,Johor,Honda,Johor
Honda CR-V,Penang,Honda,Pulau Pinang
Honda City,Johor,Honda,Johor
Honda City,Penang,Honda,Pulau Pinang
Toyota Harrier,Kuala Lumpur,Toyota,Kuala Lumpur
BMW 328i,Selangor,BMW,Selangor
Volvo XC60,Selangor,Volvo,Selangor
Toyota Alphard,Johor,Toyota,Johor
Honda HR-V,Kuala Lumpur,Honda,Kuala Lumpur
Mazda CX-5,Kuala Lumpur,Mazda,Kuala Lumpur
BMW X1,Kuala Lumpur,BMW,Kuala Lumpur
Ford Ranger,Kuala Lumpur,Ford,Kuala Lumpur
Toyota Alphard,Selangor,Toyota,Selangor
Toyota Alphard,Selangor,Toyota,Selangor
Nissan X-Trail,Selangor,Nissan,Selangor
Toyota Harrier,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Harrier,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Vellfire,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Vellfire,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Alphard,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Alphard,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Alphard,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Alphard,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Alphard,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Alphard,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Vellfire,Kuala Lumpur,Toyota,Kuala Lumpur
Toyota Alphard,Penang,Toyota,Pulau Pinang
BMW 528i,Penang,BMW,Pulau Pinang
BMW X1,Selangor,BMW,Selangor
Mercedes-Benz C200K,Selangor,Mercedes-Benz,Selangor
Mercedes-Benz C200,Kuala Lumpur,Mercedes-Benz,Kuala Lumpur
Porsche Macan,Kuala Lumpur,Porsche,Kuala Lumpur
Ford MUSTANG,Kuala Lumpur,Ford,Kuala Lumpur
Porsche Cayman,Kuala Lumpur,Porsche,Kuala Lumpur
