source,target,value
Audi,Johor,4
Audi,Kuala Lumpur,7
Audi,Perak,1
Audi,Selangor,7
BMW,Johor,17
BMW,Kuala Lumpur,18
BMW,Pulau Pinang,30
BMW,Selangor,21
Ford,Johor,2
Ford,Kuala Lumpur,10
Ford,Pulau Pinang,3
Ford,Selangor,8
Haval,Selangor,2
Honda,Johor,31
Honda,Kedah,3
Honda,Kuala Lumpur,24
Honda,Pulau Pinang,32
Honda,Selangor,50
Hyundai,Johor,14
Hyundai,Kuala Lumpur,4
Hyundai,Selangor,4
Isuzu,Kuala Lumpur,1
Isuzu,Pulau Pinang,1
Isuzu,Selangor,8
Kia,Johor,7
Kia,Kuala Lumpur,11
Kia,Pulau Pinang,3
Kia,Selangor,5
Land,Johor,1
Land,Kuala Lumpur,5
Land,Pulau Pinang,1
Land,Selangor,2
Lexus,Kuala Lumpur,4
Lexus,Pulau Pinang,2
Lexus,Selangor,8
MINI,Johor,1
MINI,Kuala Lumpur,3
MINI,Pulau Pinang,4
MINI,Selangor,5
Mazda,Johor,21
Mazda,Kedah,3
Mazda,Kuala Lumpur,13
Mazda,Melaka,1
Mazda,Pulau Pinang,7
Mazda,Selangor,27
Mercedes-Benz,Johor,16
Mercedes-Benz,Kuala Lumpur,21
Mercedes-Benz,Pulau Pinang,18
Mercedes-Benz,Selangor,32
Mitsubishi,Johor,3
Mitsubishi,Kuala Lumpur,4
Mitsubishi,Pulau Pinang,2
Mitsubishi,Selangor,7
Nissan,Johor,8
Nissan,Kuala Lumpur,11
Nissan,Pulau Pinang,3
Nissan,Selangor,16
Perodua,Johor,6
Perodua,Kuala Lumpur,5
Perodua,Pulau Pinang,12
Perodua,Selangor,20
Peugeot,Johor,8
Peugeot,Kuala Lumpur,5
Peugeot,Pulau Pinang,2
Peugeot,Selangor,4
Porsche,Johor,1
Porsche,Kuala Lumpur,6
Porsche,Pulau Pinang,1
Porsche,Selangor,3
Proton,Johor,13
Proton,Kuala Lumpur,5
Proton,Pulau Pinang,4
Proton,Selangor,12
Ssangyong,Selangor,1
Subaru,Johor,5
Subaru,Kuala Lumpur,6
Subaru,Pulau Pinang,1
Subaru,Selangor,1
Suzuki,Kuala Lumpur,2
Toyota,Johor,19
Toyota,Kedah,2
Toyota,Kuala Lumpur,47
Toyota,Pulau Pinang,14
Toyota,Selangor,49
Volkswagen,Johor,23
Volkswagen,Kuala Lumpur,8
Volkswagen,Perak,2
Volkswagen,Pulau Pinang,6
Volkswagen,Selangor,10
Volvo,Johor,2
Volvo,Kuala Lumpur,1
Volvo,Selangor,5
