Brand,List_Price
BMW,87888
Honda,70800
BMW,45800
Toyota,49800
Honda,45800
BMW,62800
BMW,119800
Toyota,149800
BMW,87800
BMW,245800
Honda,54500
Toyota,155800
Toyota,155800
Perodua,28000
Honda,59999
Honda,69800
Honda,45999
Honda,44800
Toyota,96888
BMW,58500
Volvo,76800
Toyota,105800
Honda,49800
Mazda,93800
BMW,77800
Ford,55800
Toyota,181999
Toyota,242999
Nissan,47800
Toyota,208000
Toyota,213000
Toyota,308000
Toyota,318000
Toyota,283000
Toyota,293000
Toyota,298000
Toyota,283000
Toyota,283000
Toyota,295000
Toyota,233000
Toyota,298000
BMW,58000
BMW,49800
Mercedes-Benz,42800
Mercedes-Benz,125800
Porsche,248500
Ford,278800
Porsche,228500
Land,258500
Porsche,228500
Toyota,177000
Perodua,22800
Honda,41800
Honda,86800
Toyota,65800
Mazda,59800
Suzuki,81888
Mercedes-Benz,105000
Mercedes-Benz,77000
Mercedes-Benz,95000
Honda,95800
BMW,79800
Porsche,239000
BMW,81800
Mercedes-Benz,139800
BMW,158800
MINI,159800
Lexus,199800
BMW,95500
MINI,107800
Mercedes-Benz,98800
Mercedes-Benz,170000
Mazda,38800
Mitsubishi,75800
Hyundai,83800
Toyota,183800
Toyota,239800
Mercedes-Benz,83800
Honda,65800
Mercedes-Benz,438800
Toyota,85800
BMW,93800
Nissan,43800
Toyota,91800
Kia,27800
Mazda,38800
Honda,38800
BMW,69888
BMW,84888
Honda,49800
Mazda,45800
Toyota,99888
Mazda,110800
Volkswagen,135800
Mercedes-Benz,91800
Mercedes-Benz,155800
BMW,78800
Mercedes-Benz,175800
BMW,125800
Toyota,196800
Toyota,186800
Toyota,588000
Toyota,198000
Toyota,236000
Toyota,308000
Mazda,41800
BMW,75888
Mercedes-Benz,99888
Mitsubishi,44800
Mercedes-Benz,136800
Mercedes-Benz,115900
Nissan,42999
Kia,22999
BMW,65800
Mercedes-Benz,213800
BMW,135800
Mazda,105800
Mercedes-Benz,101800
BMW,93800
Toyota,71800
BMW,73800
Mercedes-Benz,110800
Hyundai,66800
Toyota,76800
BMW,73800
Honda,56800
Honda,76800
Honda,50800
Mazda,65800
Honda,63800
Mercedes-Benz,137999
Mercedes-Benz,122999
Mercedes-Benz,169999
Audi,50800
Mercedes-Benz,135900
Mitsubishi,76800
Peugeot,25800
MINI,67800
Toyota,29800
Audi,109800
Toyota,28800
BMW,158800
BMW,69800
BMW,169800
Mercedes-Benz,48000
Honda,54800
Toyota,51000
BMW,98000
Audi,49800
Mercedes-Benz,141800
Mercedes-Benz,96800
Mercedes-Benz,124800
BMW,89800
Mercedes-Benz,103800
Mazda,69800
BMW,158800
Honda,82800
BMW,145800
BMW,189800
BMW,189800
Mercedes-Benz,109888
Toyota,36800
Kia,26800
Nissan,72800
Nissan,51800
Nissan,45999
BMW,538800
Toyota,208000
Audi,438000
Audi,438000
Honda,49800
Honda,72800
Volkswagen,25800
Toyota,92999
BMW,159800
BMW,69800
Mazda,61800
Volvo,139900
MINI,65800
Honda,51800
Honda,75800
Perodua,27800
MINI,178800
Honda,56800
Honda,49800
Toyota,55800
Proton,35800
Toyota,39800
BMW,75800
Honda,78800
Honda,83500
Toyota,93888
Peugeot,10800
Honda,24800
Nissan,89900
Mercedes-Benz,81800
BMW,54800
Nissan,16800
BMW,62800
Volvo,22900
Mercedes-Benz,142800
Mercedes-Benz,78800
Mercedes-Benz,99800
Honda,60800
Ford,43800
Toyota,166800
Mitsubishi,51800
Volkswagen,81800
