Brand,List_Price
BMW,87888
Honda,70800
BMW,45800
Toyota,49800
Honda,45800
BMW,62800
BMW,119800
Toyota,149800
BMW,87800
BMW,245800
Honda,54500
Toyota,155800
Toyota,155800
Honda,59999
Honda,69800
Honda,45999
Honda,44800
Toyota,96888
BMW,58500
Toyota,105800
Honda,49800
Mazda,93800
BMW,77800
Toyota,181999
Toyota,242999
Toyota,208000
Toyota,213000
Toyota,308000
Toyota,318000
Toyota,283000
Toyota,293000
Toyota,298000
Toyota,283000
Toyota,283000
Toyota,295000
Toyota,233000
Toyota,298000
BMW,58000
BMW,49800
Mercedes-Benz,42800
Mercedes-Benz,125800
Toyota,177000
Honda,41800
Honda,86800
Toyota,65800
Mazda,59800
Mercedes-Benz,105000
Mercedes-Benz,77000
Mercedes-Benz,95000
Honda,95800
BMW,79800
BMW,81800
Mercedes-Benz,139800
BMW,158800
BMW,95500
Mercedes-Benz,98800
Mercedes-Benz,170000
Mazda,38800
Toyota,183800
Toyota,239800
Mercedes-Benz,83800
Honda,65800
Mercedes-Benz,438800
Toyota,85800
BMW,93800
Toyota,91800
Mazda,38800
Honda,38800
BMW,69888
BMW,84888
Honda,49800
Mazda,45800
Toyota,99888
Mazda,110800
Mercedes-Benz,91800
Mercedes-Benz,155800
BMW,78800
Mercedes-Benz,175800
BMW,125800
Toyota,196800
Toyota,186800
Toyota,588000
Toyota,198000
Toyota,236000
Toyota,308000
Mazda,41800
BMW,75888
Mercedes-Benz,99888
Mercedes-Benz,136800
Mercedes-Benz,115900
BMW,65800
Mercedes-Benz,213800
BMW,135800
Mazda,105800
Mercedes-Benz,101800
BMW,93800
Toyota,71800
BMW,73800
Mercedes-Benz,110800
Toyota,76800
BMW,73800
Honda,56800
Honda,76800
Honda,50800
Mazda,65800
Honda,63800
Mercedes-Benz,137999
Mercedes-Benz,122999
Mercedes-Benz,169999
Mercedes-Benz,135900
Toyota,29800
Toyota,28800
BMW,158800
BMW,69800
BMW,169800
Mercedes-Benz,48000
Honda,54800
Toyota,51000
BMW,98000
Mercedes-Benz,141800
Mercedes-Benz,96800
Mercedes-Benz,124800
BMW,89800
Mercedes-Benz,103800
Mazda,69800
BMW,158800
Honda,82800
BMW,145800
BMW,189800
BMW,189800
Mercedes-Benz,109888
Toyota,36800
BMW,538800
Toyota,208000
Honda,49800
Honda,72800
Toyota,92999
BMW,159800
BMW,69800
Mazda,61800
Honda,51800
Honda,75800
Honda,56800
Honda,49800
Toyota,55800
Toyota,39800
BMW,75800
Honda,78800
Honda,83500
Toyota,93888
Honda,24800
Mercedes-Benz,81800
BMW,54800
BMW,62800
Mercedes-Benz,142800
Mercedes-Benz,78800
Mercedes-Benz,99800
Honda,60800
Toyota,166800
Mazda,89800
Honda,95800
Honda,58800
Mercedes-Benz,110800
BMW,108800
Mercedes-Benz,98500
BMW,92800
Mercedes-Benz,109800
Mazda,41999
Mazda,62999
Mazda,59999
Honda,52800
Toyota,90800
Honda,45800
Mazda,49700
Toyota,218800
BMW,63000
BMW,139900
Toyota,247888
Toyota,238888
Mercedes-Benz,142000
Honda,39800
Honda,49800
Mazda,46800
Mazda,53800
Honda,98800
Mazda,82999
Honda,62999
Honda,92999
Honda,57800
Honda,51800
BMW,115000
BMW,190000
Toyota,238500
Mazda,42800
Mercedes-Benz,133000
Mercedes-Benz,79800
Toyota,155800
Toyota,79800
Mercedes-Benz,83800
Toyota,285000
Mercedes-Benz,73888
Mazda,41800
Mercedes-Benz,99999
Mercedes-Benz,163800
Honda,45800
